,Precinct Name,In Person,Absentee,Provisional,Totals,,Curbside,County
23,210 - The Hermitage,1132,0,0,1132,,0,ALEXANDRIA CITY
24,302 - PATRICK HENRY REC CENTER,1630,0,0,1630,,3,ALEXANDRIA CITY
25,303 - CHARLES E BEATLEY LIBRARY,1875,0,0,1875,,9,ALEXANDRIA CITY
26,304 - SAMUEL TUCKER SCHOOL,2703,0,0,2703,,4,ALEXANDRIA CITY
27,305 - JOHN ADAMS SCHOOL,1939,0,0,1939,,10,ALEXANDRIA CITY
28,306 - WILLIAM RAMSAY SCHOOL,2015,0,0,2015,,7,ALEXANDRIA CITY
29,307 - SOUTH PORT,1785,0,0,1785,,3,ALEXANDRIA CITY
30,308 - CAMERON STATION COMMUNITY CTR,2184,0,0,2184,,5,ALEXANDRIA CITY
1,# Central Absentee,0,294,0,294,,4,ALLEGHANY COUNTY
2,## Provisional,0,0,0,0,,0,ALLEGHANY COUNTY
3,101 - ARRITT,486,0,0,486,,1,ALLEGHANY COUNTY
4,103 - DAMERON,180,0,0,180,,2,ALLEGHANY COUNTY
5,201 - HUMPBACK BRIDGE,316,0,0,316,,0,ALLEGHANY COUNTY
6,202 - DOLLY ANN,396,0,0,396,,1,ALLEGHANY COUNTY
7,301 - CALLAGHAN,280,0,0,280,,1,ALLEGHANY COUNTY
8,302 - GRIFFITH,521,0,0,521,,0,ALLEGHANY COUNTY
9,401 - LOW MOOR,370,0,0,370,,0,ALLEGHANY COUNTY
10,402 - JACKSON HEIGHTS,480,0,0,480,,0,ALLEGHANY COUNTY
11,501 - IRON GATE,229,0,0,229,,1,ALLEGHANY COUNTY
12,502 - PETERS SWITCH,603,0,0,603,,0,ALLEGHANY COUNTY
13,601 - DISTRICT 1,778,0,0,778,,2,ALLEGHANY COUNTY
14,701 - DISTRICT 2,557,0,0,557,,4,ALLEGHANY COUNTY
1,# Central Absentee,0,480,0,480,,2,AMELIA COUNTY
2,## Provisional,0,0,19,19,,0,AMELIA COUNTY
3,101 - NUMBER ONE,915,0,0,915,,8,AMELIA COUNTY
4,201 - NUMBER TWO,1150,0,0,1150,,3,AMELIA COUNTY
5,301 - NUMBER THREE,1070,0,0,1070,,2,AMELIA COUNTY
6,401 - NUMBER FOUR,1027,0,0,1027,,3,AMELIA COUNTY
7,501 - NUMBER FIVE,1239,0,0,1239,,0,AMELIA COUNTY
1,# Central Absentee,0,759,0,759,,0,AMHERST COUNTY
2,## Provisional,0,0,13,13,,0,AMHERST COUNTY
3,101 - WRIGHT SHOP,801,0,0,801,,0,AMHERST COUNTY
4,102 - NEW GLASGOW,1070,0,0,1070,,0,AMHERST COUNTY
5,103 - COOLWELL,536,0,0,536,,0,AMHERST COUNTY
6,201 - COURT HOUSE,1691,0,0,1691,,0,AMHERST COUNTY
7,202 - TEMPERANCE,646,0,0,646,,0,AMHERST COUNTY
8,301 - MONROE,707,0,0,707,,0,AMHERST COUNTY
9,302 - ELON,1727,0,0,1727,,0,AMHERST COUNTY
10,303 - PLEASANT VIEW,407,0,0,407,,0,AMHERST COUNTY
11,401 - AMELON,1839,0,0,1839,,0,AMHERST COUNTY
12,402 - LONCO,451,0,0,451,,0,AMHERST COUNTY
13,501 - MADISON,1938,0,0,1938,,0,AMHERST COUNTY
1,# Central Absentee,0,368,0,368,,5,APPOMATTOX COUNTY
2,## Provisional,0,0,1,1,,0,APPOMATTOX COUNTY
3,101 - VERA,473,0,0,473,,1,APPOMATTOX COUNTY
4,102 - PAMPLIN,834,0,0,834,,1,APPOMATTOX COUNTY
5,201 - CHAP,323,0,0,323,,0,APPOMATTOX COUNTY
6,202 - SPOUT SPRING,1034,0,0,1034,,4,APPOMATTOX COUNTY
7,301 - US  460,643,0,0,643,,1,APPOMATTOX COUNTY
8,302 - STONEWALL,769,0,0,769,,3,APPOMATTOX COUNTY
9,401 - COURTHOUSE,1085,0,0,1085,,5,APPOMATTOX COUNTY
10,501 - OAKVILLE,836,0,0,836,,2,APPOMATTOX COUNTY
11,502 - AGEE,343,0,0,343,,0,APPOMATTOX COUNTY
1,# Central Absentee,0,20751,0,20751,,44,ARLINGTON COUNTY
2,## Provisional,0,0,335,335,,0,ARLINGTON COUNTY
3,001 - ARLINGTON,1590,0,0,1590,,1,ARLINGTON COUNTY
4,002 - ASHTON HEIGHTS,1821,0,0,1821,,0,ARLINGTON COUNTY
5,003 - AURORA HILLS,1109,0,0,1109,,2,ARLINGTON COUNTY
6,004 - BALLSTON,1806,0,0,1806,,0,ARLINGTON COUNTY
7,005 - BARCROFT,1472,0,0,1472,,2,ARLINGTON COUNTY
8,006 - CRYSTAL CITY,1415,0,0,1415,,3,ARLINGTON COUNTY
9,007 - CHERRYDALE,1740,0,0,1740,,0,ARLINGTON COUNTY
10,008 - HUME,2051,0,0,2051,,3,ARLINGTON COUNTY
11,009 - COLUMBIA,2374,0,0,2374,,2,ARLINGTON COUNTY
12,010 - WILSON,2101,0,0,2101,,7,ARLINGTON COUNTY
13,011 - EAST FALLS CHURCH,1276,0,0,1276,,2,ARLINGTON COUNTY
14,012 - FAIRLINGTON,1816,0,0,1816,,2,ARLINGTON COUNTY
15,013 - GLEN CARLYN,1197,0,0,1197,,2,ARLINGTON COUNTY
16,014 - CLARENDON,1364,0,0,1364,,2,ARLINGTON COUNTY
17,015 - LYON PARK,953,0,0,953,,2,ARLINGTON COUNTY
18,016 - LYON VILLAGE,1731,0,0,1731,,0,ARLINGTON COUNTY
19,017 - OVERLEE KNOLLS,1858,0,0,1858,,6,ARLINGTON COUNTY
20,018 - PARK LANE,2525,0,0,2525,,0,ARLINGTON COUNTY
21,019 - ROSSLYN,1932,0,0,1932,,1,ARLINGTON COUNTY
22,020 - THRIFTON,1627,0,0,1627,,1,ARLINGTON COUNTY
23,021 - VIRGINIA HIGHLANDS,926,0,0,926,,5,ARLINGTON COUNTY
24,022 - ABINGDON,1947,0,0,1947,,3,ARLINGTON COUNTY
25,023 - WESTOVER,1670,0,0,1670,,4,ARLINGTON COUNTY
26,024 - WOODLAWN,2161,0,0,2161,,5,ARLINGTON COUNTY
27,025 - ARLINGTON FOREST,1731,0,0,1731,,1,ARLINGTON COUNTY
28,026 - FILLMORE,2203,0,0,2203,,5,ARLINGTON COUNTY
29,027 - JEFFERSON,1825,0,0,1825,,2,ARLINGTON COUNTY
30,028 - WAKEFIELD,1963,0,0,1963,,9,ARLINGTON COUNTY
31,029 - DOMINION HILLS,1741,0,0,1741,,7,ARLINGTON COUNTY
32,030 - GLEBE,1737,0,0,1737,,17,ARLINGTON COUNTY
33,031 - LEXINGTON,1843,0,0,1843,,8,ARLINGTON COUNTY
34,032 - OAKRIDGE,785,0,0,785,,0,ARLINGTON COUNTY
35,033 - ROCK SPRING,1811,0,0,1811,,10,ARLINGTON COUNTY
36,034 - YORKTOWN,1597,0,0,1597,,4,ARLINGTON COUNTY
37,035 - MADISON,1970,0,0,1970,,4,ARLINGTON COUNTY
38,036 - MARSHALL,1892,0,0,1892,,0,ARLINGTON COUNTY
39,037 - NOTTINGHAM,1637,0,0,1637,,0,ARLINGTON COUNTY
40,038 - ARLINGTON VIEW,1582,0,0,1582,,2,ARLINGTON COUNTY
41,039 - ASHLAWN,1001,0,0,1001,,6,ARLINGTON COUNTY
42,040 - VIRGINIA SQUARE,2169,0,0,2169,,2,ARLINGTON COUNTY
43,041 - NAVY LEAGUE,1651,0,0,1651,,0,ARLINGTON COUNTY
44,042 - SHIRLINGTON,1432,0,0,1432,,1,ARLINGTON COUNTY
45,043 - CAMPBELL,1315,0,0,1315,,4,ARLINGTON COUNTY
46,044 - DAWSON TERRACE,1333,0,0,1333,,1,ARLINGTON COUNTY
47,045 - BUCKINGHAM,1355,0,0,1355,,14,ARLINGTON COUNTY
48,046 - CENTRAL,2036,0,0,2036,,0,ARLINGTON COUNTY
49,047 - FOUR MILE RUN,1358,0,0,1358,,2,ARLINGTON COUNTY
50,048 - AUSA,1353,0,0,1353,,3,ARLINGTON COUNTY
51,049 - MONROE,1024,0,0,1024,,3,ARLINGTON COUNTY
52,050 - CRYSTAL PLAZA,1522,0,0,1522,,0,ARLINGTON COUNTY
53,051 - TAYLOR,513,0,0,513,,0,ARLINGTON COUNTY
54,052 - GUNSTON,1345,0,0,1345,,0,ARLINGTON COUNTY
55,053 - MET PARK,1635,0,0,1635,,1,ARLINGTON COUNTY
56,054 - GARFIELD PARK,861,0,0,861,,0,ARLINGTON COUNTY
1,# Central Absentee,0,1670,0,1670,,0,AUGUSTA COUNTY
2,## Provisional,0,0,48,48,,0,AUGUSTA COUNTY
3,101 - JOLIVUE,815,0,0,815,,2,AUGUSTA COUNTY
4,102 - STUARTS DRAFT ELEMENTARY,899,0,0,899,,1,AUGUSTA COUNTY
5,103 - VERONA,1458,0,0,1458,,0,AUGUSTA COUNTY
6,201 - CRIMORA,1486,0,0,1486,,7,AUGUSTA COUNTY
7,202 - NEW HOPE,970,0,0,970,,5,AUGUSTA COUNTY
8,203 - WEYERS CAVE,1496,0,0,1496,,2,AUGUSTA COUNTY
9,301 - FORT DEFIANCE,2279,0,0,2279,,9,AUGUSTA COUNTY
10,302 - NORTH RIVER,605,0,0,605,,0,AUGUSTA COUNTY
11,303 - MOUNT SOLON,747,0,0,747,,2,AUGUSTA COUNTY
12,304 - CHURCHVILLE FIRE STATION,719,0,0,719,,0,AUGUSTA COUNTY
13,401 - BUFFALO GAP,792,0,0,792,,2,AUGUSTA COUNTY
14,402 - CHURCHVILLE ELEMENTARY,824,0,0,824,,2,AUGUSTA COUNTY
15,403 - CRAIGSVILLE,530,0,0,530,,0,AUGUSTA COUNTY
16,404 - DEERFIELD,265,0,0,265,,0,AUGUSTA COUNTY
17,405 - CEDAR GREEN,1049,0,0,1049,,0,AUGUSTA COUNTY
18,501 - GREENVILLE,1352,0,0,1352,,0,AUGUSTA COUNTY
19,502 - MIDDLEBROOK,691,0,0,691,,2,AUGUSTA COUNTY
20,503 - SPOTTSWOOD,690,0,0,690,,1,AUGUSTA COUNTY
21,504 - WHITE HILL,1412,0,0,1412,,7,AUGUSTA COUNTY
22,601 - SHERANDO,954,0,0,954,,3,AUGUSTA COUNTY
23,602 - RIDGEVIEW,2089,0,0,2089,,59,AUGUSTA COUNTY
24,603 - LYNDHURST,1486,0,0,1486,,3,AUGUSTA COUNTY
25,801 - DOOMS,1079,0,0,1079,,0,AUGUSTA COUNTY
26,802 - FISHERSVILLE,1973,0,0,1973,,7,AUGUSTA COUNTY
27,803 - WILSON,1575,0,0,1575,,1,AUGUSTA COUNTY
1,# Central Absentee,0,111,0,111,,0,BATH COUNTY
2,## Provisional,0,0,1,1,,0,BATH COUNTY
3,101 - WARM SPRINGS,290,0,0,290,,0,BATH COUNTY
4,102 - MOUNTAIN GROVE,58,0,0,58,,0,BATH COUNTY
5,201 - HOT SPRINGS,249,0,0,249,,0,BATH COUNTY
6,301 - FAIRVIEW,264,0,0,264,,0,BATH COUNTY
7,302 - BURNSVILLE,64,0,0,64,,0,BATH COUNTY
8,401 - MILLBORO,365,0,0,365,,0,BATH COUNTY
9,501 - HEALING SPRINGS,349,0,0,349,,0,BATH COUNTY
1,# Central Absentee,0,2360,0,2360,,0,BEDFORD COUNTY
2,## Provisional,0,0,34,34,,0,BEDFORD COUNTY
3,101 - GOODVIEW ELEM SCHOOL,1434,0,0,1434,,26,BEDFORD COUNTY
4,102 - HARDY VOL FIRE CO,629,0,0,629,,0,BEDFORD COUNTY
5,103 - CHAMBLISSBURG BAPTIST CHURCH,1056,0,0,1056,,8,BEDFORD COUNTY
6,104 - STEWARTSVILLE RESCUE SQUAD,921,0,0,921,,12,BEDFORD COUNTY
7,201 - BEDFORD CHRISTIAN CHURCH,561,0,0,561,,0,BEDFORD COUNTY
8,202 - STAUNTON RIVER HIGH SCHOOL,724,0,0,724,,3,BEDFORD COUNTY
9,203 - MONETA ELEM SCHOOL,1493,0,0,1493,,17,BEDFORD COUNTY
10,204 - Quaker BAPTIST CHURCH,512,0,0,512,,1,BEDFORD COUNTY
11,205 - SAUNDERS VOL FIRE CO,1201,0,0,1201,,7,BEDFORD COUNTY
12,301 - NEW LONDON ACADEMY,1538,0,0,1538,,2,BEDFORD COUNTY
13,302 - BEDFORD REGIONAL WATER AUTH,1004,0,0,1004,,1,BEDFORD COUNTY
14,303 - BETHESDA UNITED METHODIST CHURCH,641,0,0,641,,4,BEDFORD COUNTY
15,304 - THE WELL CHURCH,678,0,0,678,,5,BEDFORD COUNTY
16,305 - HUDDLESTON ELEM SCHOOL,515,0,0,515,,8,BEDFORD COUNTY
17,306 - FOREST FIRE STATION #2,884,0,0,884,,0,BEDFORD COUNTY
18,401 - FOREST ELEMENTARY SCHOOL,1646,0,0,1646,,12,BEDFORD COUNTY
19,402 - THOMAS JEFFERSON ELEM SCHOOL,929,0,0,929,,7,BEDFORD COUNTY
20,403 - KNIGHTS OF COLUMBUS BLDG,1949,0,0,1949,,4,BEDFORD COUNTY
21,404 - ST. PAUL BAPTIST CHURCH,1455,0,0,1455,,7,BEDFORD COUNTY
22,502 - BIG ISLAND ELEM SCHOOL,373,0,0,373,,3,BEDFORD COUNTY
23,503 - SEDALIA CENTER,519,0,0,519,,1,BEDFORD COUNTY
24,504 - SUCK SPRINGS BAPTIST CHURCH,794,0,0,794,,1,BEDFORD COUNTY
25,505 - BOONSBORO ELEMENTARY SCHOOL,1489,0,0,1489,,3,BEDFORD COUNTY
26,506 - BOONSBORO RURITAN CLUB,2141,0,0,2141,,4,BEDFORD COUNTY
27,601 - MONTVALE ELEM SCHOOL,953,0,0,953,,7,BEDFORD COUNTY
28,602 - SHADY GROVE FIRE DEPARTMENT,1002,0,0,1002,,2,BEDFORD COUNTY
29,603 - THAXTON BAPTIST CHURCH #1,291,0,0,291,,2,BEDFORD COUNTY
30,604 - BEDFORD WELCOME CENTER,1417,0,0,1417,,15,BEDFORD COUNTY
31,701 - GOODE VOL RESCUE SQUAD,1561,0,0,1561,,0,BEDFORD COUNTY
32,702 - LIBERTY HIGH SCHOOL,811,0,0,811,,3,BEDFORD COUNTY
33,703 - THAXTON BAPTIST CHURCH #2,619,0,0,619,,3,BEDFORD COUNTY
34,704 - BEDFORD CENTRAL LIBRARY,1582,0,0,1582,,17,BEDFORD COUNTY
1,# Central Absentee,0,123,0,123,,2,BLAND COUNTY
2,## Provisional,0,0,0,0,,0,BLAND COUNTY
3,101 - BASTIAN,317,0,0,317,,0,BLAND COUNTY
4,102 - CERES,309,0,0,309,,2,BLAND COUNTY
5,201 - DAVIS,94,0,0,94,,0,BLAND COUNTY
6,202 - SEDDON,570,0,0,570,,1,BLAND COUNTY
7,301 - HOLLYBROOK,286,0,0,286,,1,BLAND COUNTY
8,302 - MECHANICSBURG,154,0,0,154,,0,BLAND COUNTY
9,401 - ROCKY GAP,612,0,0,612,,0,BLAND COUNTY
1,# Central Absentee,0,970,0,970,,3,BOTETOURT COUNTY
2,## Provisional,0,0,6,6,,0,BOTETOURT COUNTY
3,101 - DALEVILLE,1557,0,0,1557,,10,BOTETOURT COUNTY
4,102 - GREENFIELD,1745,0,0,1745,,10,BOTETOURT COUNTY
5,201 - BLUE RIDGE,1530,0,0,1530,,4,BOTETOURT COUNTY
6,202 - RAINBOW FOREST,1596,0,0,1596,,6,BOTETOURT COUNTY
7,301 - BUCHANAN,1299,0,0,1299,,3,BOTETOURT COUNTY
8,302 - MILL CREEK,1269,0,0,1269,,4,BOTETOURT COUNTY
9,403 - EAGLE ROCK,863,0,0,863,,4,BOTETOURT COUNTY
10,406 - FINCASTLE,1831,0,0,1831,,8,BOTETOURT COUNTY
11,501 - TROUTVILLE,883,0,0,883,,3,BOTETOURT COUNTY
12,502 - CLOVERDALE,2045,0,0,2045,,13,BOTETOURT COUNTY
1,# Central Absentee,0,429,0,429,,0,BRISTOL CITY
2,## Provisional,0,0,7,7,,0,BRISTOL CITY
3,001 - FIRST WARD,859,0,0,859,,13,BRISTOL CITY
4,002 - SECOND WARD,1246,0,0,1246,,3,BRISTOL CITY
5,003 - THIRD WARD,710,0,0,710,,6,BRISTOL CITY
6,004 - FOURTH WARD,2049,0,0,2049,,19,BRISTOL CITY
1,# Central Absentee,0,505,0,505,,0,BRUNSWICK COUNTY
2,## Provisional,0,0,19,19,,0,BRUNSWICK COUNTY
3,101 - BRODNAX,292,0,0,292,,7,BRUNSWICK COUNTY
4,102 - ROCK STORE,454,0,0,454,,7,BRUNSWICK COUNTY
5,103 - TILLMAN,524,0,0,524,,1,BRUNSWICK COUNTY
6,201 - DROMGOOLE,179,0,0,179,,0,BRUNSWICK COUNTY
7,202 - EDGERTON,531,0,0,531,,8,BRUNSWICK COUNTY
8,203 - FITZHUGH,455,0,0,455,,6,BRUNSWICK COUNTY
9,301 - ALBERTA,144,0,0,144,,0,BRUNSWICK COUNTY
10,302 - DANIELTOWN,541,0,0,541,,0,BRUNSWICK COUNTY
11,303 - ELMORE,258,0,0,258,,7,BRUNSWICK COUNTY
12,304 - SEYMOUR,242,0,0,242,,4,BRUNSWICK COUNTY
13,401 - STURGEON,846,0,0,846,,16,BRUNSWICK COUNTY
14,402 - KING'S STORE,316,0,0,316,,0,BRUNSWICK COUNTY
15,501 - TOTARO,901,0,0,901,,33,BRUNSWICK COUNTY
1,# Central Absentee,0,556,0,556,,3,BUCHANAN COUNTY
2,## Provisional,0,0,4,4,,0,BUCHANAN COUNTY
3,102 - BLACKEY,252,0,0,252,,0,BUCHANAN COUNTY
4,103 - HURLEY,488,0,0,488,,2,BUCHANAN COUNTY
5,201 - GRASSY,75,0,0,75,,0,BUCHANAN COUNTY
6,202 - BULL,331,0,0,331,,0,BUCHANAN COUNTY
7,203 - ROCKLICK,345,0,0,345,,0,BUCHANAN COUNTY
8,301 - SLATE,409,0,0,409,,5,BUCHANAN COUNTY
9,302 - NORTH GRUNDY,385,0,0,385,,0,BUCHANAN COUNTY
10,403 - SOUTH GRUNDY,591,0,0,591,,0,BUCHANAN COUNTY
11,404 - OAKWOOD,56,0,0,56,,0,BUCHANAN COUNTY
12,501 - PRATER,350,0,0,350,,0,BUCHANAN COUNTY
13,502 - FOX,122,0,0,122,,0,BUCHANAN COUNTY
14,503 - VANSANT,373,0,0,373,,1,BUCHANAN COUNTY
15,601 - COUNCIL,234,0,0,234,,0,BUCHANAN COUNTY
16,602 - GARDEN,366,0,0,366,,0,BUCHANAN COUNTY
17,603 - HURRICANE,239,0,0,239,,2,BUCHANAN COUNTY
18,701 - WHITEWOOD,475,0,0,475,,1,BUCHANAN COUNTY
19,702 - CONTRARY,379,0,0,379,,1,BUCHANAN COUNTY
1,# Central Absentee,0,419,0,419,,1,BUCKINGHAM COUNTY
2,## Provisional,0,0,4,4,,0,BUCKINGHAM COUNTY
3,101 - NEW CANTON,787,0,0,787,,6,BUCKINGHAM COUNTY
4,102  - GEORGIA CREEK,220,0,0,220,,1,BUCKINGHAM COUNTY
5,201 - WHITE HALL,525,0,0,525,,1,BUCKINGHAM COUNTY
6,301 - CURDSVILLE,600,0,0,600,,3,BUCKINGHAM COUNTY
7,302 - NEW STORE,422,0,0,422,,2,BUCKINGHAM COUNTY
8,401 - MAYSVILLE,905,0,0,905,,8,BUCKINGHAM COUNTY
9,501 - WRIGHTS,402,0,0,402,,5,BUCKINGHAM COUNTY
10,502 - GLENMORE,558,0,0,558,,1,BUCKINGHAM COUNTY
11,601 - SLATE RIVER,798,0,0,798,,7,BUCKINGHAM COUNTY
12,701 - GOLD HILL,554,0,0,554,,4,BUCKINGHAM COUNTY
1,001 - FIRST WARD,936,67,0,1003,,4,BUENA VISTA CITY
2,002 - SECOND WARD,699,60,0,759,,3,BUENA VISTA CITY
1,# Central Absentee,0,1055,0,1055,,0,CAMPBELL COUNTY
2,## Provisional,0,0,13,13,,0,CAMPBELL COUNTY
3,101 - BROOKVILLE,1776,0,0,1776,,0,CAMPBELL COUNTY
4,102 - NEW LONDON,1724,0,0,1724,,0,CAMPBELL COUNTY
5,201 - WALKER,1317,0,0,1317,,0,CAMPBELL COUNTY
6,202 - BEDFORD SPRINGS,1835,0,0,1835,,0,CAMPBELL COUNTY
7,301 - EVINGTON,637,0,0,637,,0,CAMPBELL COUNTY
8,302 - OTTER RIVER,588,0,0,588,,0,CAMPBELL COUNTY
9,303 - ALTAVISTA,1609,0,0,1609,,0,CAMPBELL COUNTY
10,401 - THREE FORKS,1097,0,0,1097,,0,CAMPBELL COUNTY
11,402 - COURT HOUSE,1957,0,0,1957,,0,CAMPBELL COUNTY
12,501 - SPRING HILL,1793,0,0,1793,,0,CAMPBELL COUNTY
13,502 - YELLOW BRANCH,1094,0,0,1094,,0,CAMPBELL COUNTY
14,601 - KINGS,1127,0,0,1127,,0,CAMPBELL COUNTY
15,602 - CONCORD,1719,0,0,1719,,0,CAMPBELL COUNTY
16,701 - BROOKNEAL,907,0,0,907,,0,CAMPBELL COUNTY
17,702 - GLADYS,1236,0,0,1236,,0,CAMPBELL COUNTY
18,703 - MORRIS CHURCH,556,0,0,556,,0,CAMPBELL COUNTY
1,# Central Absentee,0,805,0,805,,0,CAROLINE COUNTY
2,## Provisional,0,0,28,28,,0,CAROLINE COUNTY
3,101 - BOWLING GREEN,1014,0,0,1014,,0,CAROLINE COUNTY
4,102 - SPARTA,769,0,0,769,,0,CAROLINE COUNTY
5,201 - NORTH MADISON,865,0,0,865,,0,CAROLINE COUNTY
6,202 - SOUTH MADISON,1088,0,0,1088,,1,CAROLINE COUNTY
7,301 - PORT ROYAL,448,0,0,448,,7,CAROLINE COUNTY
8,302 - WOODFORD,1136,0,0,1136,,16,CAROLINE COUNTY
9,401 - DAWN,1400,0,0,1400,,28,CAROLINE COUNTY
10,402 - CARMEL CHURCH,485,0,0,485,,12,CAROLINE COUNTY
11,501 - WEST MATTAPONI,988,0,0,988,,20,CAROLINE COUNTY
12,502 - MILFORD,739,0,0,739,,16,CAROLINE COUNTY
